CFP  401  02 Action Research I,D Westberg,,00:00 AM,00:00 AM,Arranged,A0.50
Chemistry,,,,,,
CHM  103  01 Selected Concepts in Chemistry,S Ibrahim,MWF,01:00 PM,01:50 PM,Athletics and Recrea 1.00,
CHM  103L 01 Selected Concepts in Chemistry Lab,S Ibrahim,R,09:00 AM,10:50 AM,Peterson Hall,0.00
CHM  121  01 General Chemistry I,C Stead,MWF,09:00 AM,09:50 AM,Athletics and Recrea 1.00,
CHM  121  02 General Chemistry I,S Ibrahim,MWF,02:00 PM,02:50 PM,Athletics and Recrea 1.00,
CHM  121L 01 General Chemistry I Laboratory,S Noreuil,T,08:00 AM,10:50 AM,Peterson Hall,0.00
CHM  121L 02 General Chemistry I Laboratory,S Ibrahim,T,01:00 PM,03:50 PM,Peterson Hall,0.00
CHM  121L 03 General Chemistry I Laboratory,S Stoudt,R,08:00 AM,10:50 AM,Peterson Hall,0.00
CHM  121L 04 General Chemistry I Laboratory,C Stead,R,01:00 PM,03:50 PM,Peterson Hall,0.00
CHM  122  01 General Chemistry II,S Singleton,MWF,02:00 PM,02:50 PM,Athletics and Recrea 1.00,
CHM  122L 01 General Chemistry II Laboratory,S Singleton,R,08:00 AM,10:50 AM,Peterson Hall,0.00
CHM  122L 02 General Chemistry II Laboratory,S Singleton,R,01:00 PM,03:50 PM,Peterson Hall,0.00
CHM  211  01 Analytical Chemistry,M St. Clair,MWF,08:00 AM,08:50 AM,Peterson Hall,1.00
CHM  211L 01W Analytical Chemistry Laboratory,M St. Clair,MW,02:00 PM,04:50 PM,Peterson Hall,0.50
CHM  321  01 Organic Chemistry II,S Stoudt,MWF,10:00 AM,10:50 AM,Athletics and Recrea 1.00,
CHM  322  01 Organic Laboratory,S Stoudt,MW,01:00 PM,03:50 PM,Peterson Hall,1.00
"",S Stoudt,F,01:00 PM,02:30 PM,Peterson Hall,
CHM  341  01W Physical Chemistry I,S Singleton,MWF,11:00 AM,11:50 AM,Peterson Hall,1.00
CHM  341L 01 Physical Chemistry I Laboratory,S Singleton,M,05:00 PM,07:50 PM,Peterson Hall,0.00
CHM  432  01 Protein Biochemistry,C Stead,MWF,02:00 PM,02:50 PM,Struve Comm Ctr,1.00
CHM  432L 01 Protein Biochemistry Laboratory,C Stead,R,08:00 AM,10:50 AM,Peterson Hall,0.20
CHM  474  01 Seminar in Chemistry II,S Stoudt,W,08:00 AM,08:50 AM,Peterson Hall,0.25
Classical Studies,,,,,,
CLA  120  01 Roman Civilization,J Langseth,MWF,01:00 PM,01:50 PM,Hickok Hall,1.00
Communication Studies,,,,,,
COM  125  01 Fundamentals of Public Speaking,A Spikes,TR,09:30 AM,10:50 AM,Hickok Hall,1.00
COM  125  02 Fundamentals of Public Speaking,A Spikes,TR,02:00 PM,03:20 PM,Hickok Hall,1.00
COM  157  01W Introduction to Media Analysis,S Harmsen,MWF,09:00 AM,09:50 AM,Struve Comm Ctr,1.00
COM  157  02W Introduction to Media Analysis,S Harmsen,MWF,01:00 PM,01:50 PM,Struve Comm Ctr,1.00
COM  161  01W Visual Rhetoric,T Donofrio,TR,12:30 PM,01:50 PM,Hickok Hall,1.00
COM  236  01W Intercultural Communication,D Pugh-Patton,MWF,08:00 AM,08:50 AM,Hickok Hall,1.00
COM  337  01W Persuasion,T Donofrio,TR,09:30 AM,10:50 AM,Hickok Hall,1.00
COM  457  01W SpecialTopicsMediaStdy:Afrofuturism,D Pugh-Patton,TR,11:00 AM,12:20 PM,Struve Comm Ctr,1.00
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,,Credits
Creative Writing,,,,,,,
CRW  111  01 Literary Magazine Editing,M Salesses,M,05:00 PM,06:50 PM,Hickok Hall,,0.20
CRW  112  01 Advanced Literary Magazine Editing,M Salesses,M,05:00 PM,06:50 PM,Hickok Hall,,0.50
CRW  115  01W Exp CRW:Exploring Creative Writing,K Aspengren,TR,09:30 AM,10:50 AM,Hickok Hall,,1.00
CRW  125  01W Introduction to Creative Writing,M LeMay-Lewis,MWF,10:00 AM,10:50 AM,Struve Comm Ctr,,1.00
CRW  125  02W Introduction to Creative Writing,L McQueen,MWF,09:00 AM,09:50 AM,Hickok Hall,,1.00
CRW  280  01W Poetry Workshop I,M LeMay-Lewis,MW,02:00 PM,03:20 PM,Hickok Hall,,1.00
CRW  290  01W Fiction Workshop I,L McQueen,TR,02:00 PM,03:20 PM,Hickok Hall,,1.00
CRW  355  01W Playwriting Workshop 2,K Aspengren,TR,12:30 PM,01:50 PM,Hickok Hall,,1.00
CRW  390  01W Fiction Workshop II,L McQueen,TR,02:00 PM,03:20 PM,Hickok Hall,,1.00
CRW  455  01W Playwriting Workshop 3,K Aspengren,TR,12:30 PM,01:50 PM,Hickok Hall,,1.00
CRW  490  01W Fiction Workshop III,L McQueen,TR,02:00 PM,03:20 PM,Hickok Hall,,1.00
CRW  492  01W Manuscript Workshop,K Aspengren,W,05:00 PM,06:50 PM,Hickok Hall,,1.00
Computer Science,,,,,,,
CS125  01 Introduction to Programming,S Hughes,MWF,12:00 PM,12:50 PM,Stuart Hall,,1.00
"",S Hughes,R,02:00 PM,03:20 PM,Stuart Hall,,
CS125  02 Introduction to Programming,S Hughes,MWF,08:00 AM,08:50 AM,Stuart Hall,,1.00
"",S Hughes,R,12:30 PM,02:00 PM,Stuart Hall,,
CS135  01 Data Structures,T Hostetler,MWF,12:00 PM,12:50 PM,Stuart Hall,,1.00
CS215  01 Analysis of Algorithms,T Hostetler,MWF,09:00 AM,09:50 AM,Stuart Hall,,1.00
CS220  01 Principles of Computer Systems,S Hughes,MWF,02:00 PM,02:50 PM,Stuart Hall,,1.00
